;;;;;;;;;;;;;;
Jira;;;;;;;;;;;;;;
Displaying 75 issues at 20/May/25 11:46 AM.;;;;;;;;;;;;;;
Issue Type;Key;Linked Issues;Priority;Summary;Status;Assignee;Creator;Created;Fix Version/s;Date of First Response;Resolved;Redeclared;Linked issue;Description
Incident;OEKB-6890;;Major;M12 PROD - INTR00163407 - Breakdown Instructions not processed correctly;Pending;Emna EL MEKKI;Dalibor VIDIC;19/05/2025 08:49;;19/05/2025 08:59;;NO;;"Hello, 

the client instructions (Breakdown Instruction) are not processed correctly by the system in the two INTR events below. 

INTR00163407 - AT0000A2XML 

Client 236500 => 17.420.000 

Breakdown Instruction => 17.430.000 

The instruction exceeds the actual client holding, so it should not be executed. 

However, the instruction has been executed, although this is not visible under 'Client Entitlement'. 



We have the same problem with ISIN AT0000A2XMN6 

INTR00163408 - AT0000A2XMN6 

Client 236500 => 40.941.000 

Breakdown Instruction => 40.952.000 

The instruction exceeds the actual client holding, so it should not be executed. 



Please check this urgently\! 



Thank you and BR, Dalibor"
Incident;OEKB-6889;;Major;M12 PROD - DVCA0003218201 - List Market Entitlement;Pending;Emna EL MEKKI;Dalibor VIDIC;19/05/2025 08:10;;19/05/2025 08:39;;NO;;"Hello, 

we have noticed that several market entitlements are displayed for the above DVCA event. 
The calculated market entitlement of 170,233,686 is correct, but what are the other calculated entitlements (market claims entitlements?) 
We have now cancelled them, but please urgently check why they are being displayed. 



Thank you and BR, Dalibor"
Incident;OEKB-6888;;Major;M12 PROD - List Client Payment - Different search results;Planned;Emna EL MEKKI;Dalibor VIDIC;16/05/2025 12:57;MR3_2025;16/05/2025 13:11;;NO;;"Hello, 

if I search in the menu item ‘List Client Payment’ with an ISIN, only results with the status ‘Sent’ are shown. 
However, if I search using a MainReference, results with other ‘statuses’ are also shown, e.g. with status ‘WaitingSettlementConfirmation’ etc. 



Please check\! 



Thank you and BR, Dali"
Incident;OEKB-6885;OEKB-6798;Major;Full Load Position File per aod 15052025 processed after the job for the Entitlment Calculations;Fixed Delivered;Emna EL MEKKI;OEKB - Nikolay TSONKOV;16/05/2025 06:37;;16/05/2025 09:33;16/05/2025 09:33;NO;;"Dears , 

last nicht the processing of the full load position file finished at 3:37 in the morning 



i will proceed with recovery actions in the following way 

check what was loaded in the system vs content of the full load position file 

do entitlment calculations manually 

run the following jobs in the following order 

* Client Notification Generation 
* Client notification Generation for Entitlment 
* Send Notification 

i will keep you updated 

BR, 

Niki"
Incident;OEKB-6884;;Major;M12 PROD - DVCA0003215836 - incorrect Client Payment Status;Pending;Emna EL MEKKI;Dalibor VIDIC;15/05/2025 12:33;;15/05/2025 13:28;;NO;;"Hello, 

four client payments in the DVCA Event mentioned above have the status 'WaitingSettlementConfirmation' or 'WaitingReleaseConfirmation', although the instructions are already settled in CCSYS. 

Please check and correct the error so that we can send the confirmations to the clients. 



Thank you and BR, Dali"
Incident;OEKB-6883;;Major;M12 PROD - List Received MT564 CANC - Search Function;Planned;Emna EL MEKKI;Dalibor VIDIC;15/05/2025 11:06;MR3_2025;15/05/2025 11:24;;NO;;"Hello, 

I have noticed that it is not possible to search using an ISIN under the above menu item. Results are only displayed if you click on 'Search' without entering an ISIN. 

Please check and adapt. 



Thank you and BR, Dalibor"
Incident;OEKB-6882;OEKB-6798;Major;Full Position File aod 14.05.2025 processed too late in MegaCor;Fixed Delivered;Emna EL MEKKI;OEKB - Nikolay TSONKOV;15/05/2025 06:42;;15/05/2025 09:25;16/05/2025 09:33;NO;;"Good Morning the Full Load Position Interface aod 14.05.2025 finished on 15.05.2025 at 02:51 

i will send a meeting for 08:15 so we can do checks together 



BR, 

Niki"
Incident;OEKB-6879;;Medium;MEGACOR Flow out - ERROR;Planned;Emna EL MEKKI;OEKB - Lukasz Walczuk;14/05/2025 13:04;MR3_2025;14/05/2025 13:14;;NO;;"Hello, 

we have received two Flow Out Errors. 



Please check."
Incident;OEKB-6878;OEKB-6798;Major;Position Delta File #1 per 14052025 not in M12;Fixed Delivered;Emna EL MEKKI;OEKB - Nikolay TSONKOV;14/05/2025 07:53;;14/05/2025 08:17;16/05/2025 09:32;NO;;"the position file delta #1 for 14-05-2025 not in the system 

the file is delivered, there is nothing in the failed position 

the device is working"
Incident;OEKB-6877;;Major;M12 PROD - INTR00163325 - Breakdown Instruction;Pending;Thouraya BEN ABDALLAH;Dalibor VIDIC;13/05/2025 08:24;;13/05/2025 08:42;;NO;;"Hello, 

In the above-mentioned INTR event there is a breakdown instruction (3.000.000 in Status executed) that was not taken into account by the system when calculating the entitlements. 

For this reason, the event status is ‘waiting payment’ instead of ‘executed’. 



Please check\! 



Thank you and BR, Dalibor"
